877;MorningstarP;Profile -- Industry;=smfGetTagContent("http://quotes.morningstar.com/stock/c-company-profile?t=~~~~~","span",1,"</div","Industry")
878;MorningstarP;Profile -- Sector;=smfGetTagContent("http://quotes.morningstar.com/stock/c-company-profile?t=~~~~~","span",1,"</div","Sector")
879;MorningstarP;Profile -- Stock Type;=smfGetTagContent("http://quotes.morningstar.com/stock/c-company-profile?t=~~~~~","span",1,"Stock Type")
880;MorningstarP;Profile -- Stock Style;=TRIM(smfstrExtr(smfGetTagContent("http://quotes.morningstar.com/stock/c-company-profile?t=~~~~~","span",1,"Stock Style"),"</div>","~"))

881;MorningstarT;Take -- Growth;=smfstrExtr(smfGetTagContent("http://quotes.morningstar.com/stock/c-morningstar-take?t=~~~~~","div",0,"idMstarGradeContent","Growth"),"_grade","""")
882;MorningstarT;Take -- Profitability;=smfstrExtr(smfGetTagContent("http://quotes.morningstar.com/stock/c-morningstar-take?t=~~~~~","div",0,"idMstarGradeContent","Profitability"),"_grade","""")
883;MorningStar;Stock Grades -- Financial Health;http://quicktake.morningstar.com/stocknet/printreport.aspx?symbol=~~~~~;2;STOCK GRADES;FINANCIAL HEALTH; ; ;0;0;0;0
4824;MorningstarTR;Total Return - Y1 - Q1;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;2;Quarterly Returns<;Q1; ; ;1;</table;0;0
4825;MorningstarTR;Total Return - Y2 - Q1;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;2;Quarterly Returns<;Q1; ; ;2;</table;0;0
4826;MorningstarTR;Total Return - Y3 - Q1;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;2;Quarterly Returns<;Q1; ; ;3;</table;0;0
4827;MorningstarTR;Total Return - Y4 - Q1;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;2;Quarterly Returns<;Q1; ; ;4;</table;0;0
4828;MorningstarTR;Total Return - Y5 - Q1;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;2;Quarterly Returns<;Q1; ; ;5;</table;0;0
4829;MorningstarTR;Total Return - Y6 - Q1;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;2;Quarterly Returns<;Q1; ; ;6;</table;0;0
4830;MorningstarTR;Total Return - Y7 - Q1;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;2;Quarterly Returns<;Q1; ; ;7;</table;0;0
4832;MorningstarTR;Total Return - Y1 - Q2;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;3;Quarterly Returns<;Q1; ; ;1;</table;0;0
4833;MorningstarTR;Total Return - Y2 - Q2;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;3;Quarterly Returns<;Q1; ; ;2;</table;0;0
4834;MorningstarTR;Total Return - Y3 - Q2;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;3;Quarterly Returns<;Q1; ; ;3;</table;0;0
4835;MorningstarTR;Total Return - Y4 - Q2;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;3;Quarterly Returns<;Q1; ; ;4;</table;0;0
4836;MorningstarTR;Total Return - Y5 - Q2;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;3;Quarterly Returns<;Q1; ; ;5;</table;0;0
4837;MorningstarTR;Total Return - Y6 - Q2;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;3;Quarterly Returns<;Q1; ; ;6;</table;0;0
4838;MorningstarTR;Total Return - Y7 - Q2;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;3;Quarterly Returns<;Q1; ; ;7;</table;0;0
4840;MorningstarTR;Total Return - Y1 - Q3;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;4;Quarterly Returns<;Q1; ; ;1;</table;0;0
4841;MorningstarTR;Total Return - Y2 - Q3;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;4;Quarterly Returns<;Q1; ; ;2;</table;0;0
4842;MorningstarTR;Total Return - Y3 - Q3;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;4;Quarterly Returns<;Q1; ; ;3;</table;0;0
4843;MorningstarTR;Total Return - Y4 - Q3;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;4;Quarterly Returns<;Q1; ; ;4;</table;0;0
4844;MorningstarTR;Total Return - Y5 - Q3;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;4;Quarterly Returns<;Q1; ; ;5;</table;0;0
4845;MorningstarTR;Total Return - Y6 - Q3;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;4;Quarterly Returns<;Q1; ; ;6;</table;0;0
4846;MorningstarTR;Total Return - Y7 - Q3;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;4;Quarterly Returns<;Q1; ; ;7;</table;0;0
4848;MorningstarTR;Total Return - Y1 - Q4;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;5;Quarterly Returns<;Q1; ; ;1;</table;0;0
4849;MorningstarTR;Total Return - Y2 - Q4;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;5;Quarterly Returns<;Q1; ; ;2;</table;0;0
4850;MorningstarTR;Total Return - Y3 - Q4;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;5;Quarterly Returns<;Q1; ; ;3;</table;0;0
4851;MorningstarTR;Total Return - Y4 - Q4;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;5;Quarterly Returns<;Q1; ; ;4;</table;0;0
4852;MorningstarTR;Total Return - Y5 - Q4;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;5;Quarterly Returns<;Q1; ; ;5;</table;0;0
4853;MorningstarTR;Total Return - Y6 - Q4;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;5;Quarterly Returns<;Q1; ; ;6;</table;0;0
4854;MorningstarTR;Total Return - Y7 - Q4;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;5;Quarterly Returns<;Q1; ; ;7;</table;0;0
4856;MorningstarTR;Total Return - Y1 - Year;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;8;Total Return %<; ; ; ;0;</table;0;0
4857;MorningstarTR;Total Return - Y2 - Year;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;7;Total Return %<; ; ; ;0;</table;0;0
4858;MorningstarTR;Total Return - Y3 - Year;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;6;Total Return %<; ; ; ;0;</table;0;0
4859;MorningstarTR;Total Return - Y4 - Year;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;5;Total Return %<; ; ; ;0;</table;0;0
4860;MorningstarTR;Total Return - Y5 - Year;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;4;Total Return %<; ; ; ;0;</table;0;0
4861;MorningstarTR;Total Return - Y6 - Year;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;3;Total Return %<; ; ; ;0;</table;0;0
4862;MorningstarTR;Total Return - Y7 - Year;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;2;Total Return %<; ; ; ;0;</table;0;0
4863;MorningstarTR;Total Return - Y8 - Year;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;1;Total Return %<; ; ; ;0;</table;0;0
4864;MorningstarTR;Total Return - Y1 - vs Category;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;8;>Total Returns;+/- Category; ; ;0;</table;0;0
4865;MorningstarTR;Total Return - Y2 - vs Category;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;7;>Total Returns;+/- Category; ; ;0;</table;0;0
4866;MorningstarTR;Total Return - Y3 - vs Category;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;6;>Total Returns;+/- Category; ; ;0;</table;0;0
4867;MorningstarTR;Total Return - Y4 - vs Category;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;5;>Total Returns;+/- Category; ; ;0;</table;0;0
4868;MorningstarTR;Total Return - Y5 - vs Category;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;4;>Total Returns;+/- Category; ; ;0;</table;0;0
4869;MorningstarTR;Total Return - Y6 - vs Category;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;3;>Total Returns;+/- Category; ; ;0;</table;0;0
4870;MorningstarTR;Total Return - Y7 - vs Category;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;2;>Total Returns;+/- Category; ; ;0;</table;0;0
4871;MorningstarTR;Total Return - Y8 - vs Category;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;1;>Total Returns;+/- Category; ; ;0;</table;0;0
4872;MorningstarTR;Total Return - Y1 - vs Index;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;8;+/- Index<; ; ; ;0;</table;0;0
4873;MorningstarTR;Total Return - Y2 - vs Index;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;7;+/- Index<; ; ; ;0;</table;0;0
4874;MorningstarTR;Total Return - Y3 - vs Index;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;6;+/- Index<; ; ; ;0;</table;0;0
4875;MorningstarTR;Total Return - Y4 - vs Index;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;5;+/- Index<; ; ; ;0;</table;0;0
4876;MorningstarTR;Total Return - Y5 - vs Index;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;4;+/- Index<; ; ; ;0;</table;0;0
4877;MorningstarTR;Total Return - Y6 - vs Index;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;3;+/- Index<; ; ; ;0;</table;0;0
4878;MorningstarTR;Total Return - Y7 - vs Index;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;2;+/- Index<; ; ; ;0;</table;0;0
4879;MorningstarTR;Total Return - Y8 - vs Index;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;1;+/- Index<; ; ; ;0;</table;0;0
4880;MorningstarTR;Total Return - Y1 - Category Rank;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;8;% Rank in Category<; ; ; ;0;</table;0;0
4881;MorningstarTR;Total Return - Y2 - Category Rank;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;7;% Rank in Category<; ; ; ;0;</table;0;0
4882;MorningstarTR;Total Return - Y3 - Category Rank;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;6;% Rank in Category<; ; ; ;0;</table;0;0
4883;MorningstarTR;Total Return - Y4 - Category Rank;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;5;% Rank in Category<; ; ; ;0;</table;0;0
4884;MorningstarTR;Total Return - Y5 - Category Rank;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;4;% Rank in Category<; ; ; ;0;</table;0;0
4885;MorningstarTR;Total Return - Y6 - Category Rank;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;3;% Rank in Category<; ; ; ;0;</table;0;0
4886;MorningstarTR;Total Return - Y7 - Category Rank;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;2;% Rank in Category<; ; ; ;0;</table;0;0
4887;MorningstarTR;Total Return - Y8 - Category Rank;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;1;% Rank in Category<; ; ; ;0;</table;0;0
4888;MorningstarTR;Trailing Returns - 1-Day - Total Return;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;1;1-Day<; ; ; ;0;</table;0;0
4889;MorningstarTR;Trailing Returns - 1-Week - Total Return;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;1;1-Week<; ; ; ;0;</table;0;0
4890;MorningstarTR;Trailing Returns - 1-Month - Total Return;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;1;1-Month<; ; ; ;0;</table;0;0
4891;MorningstarTR;Trailing Returns - 3-Month - Total Return;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;1;3-Month<; ; ; ;0;</table;0;0
4892;MorningstarTR;Trailing Returns - YTD - Total Return;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;1;Year-to-date<; ; ; ;0;</table;0;0
4893;MorningstarTR;Trailing Returns - 1-Year - Total Return;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;1;1-Year<; ; ; ;0;</table;0;0
4894;MorningstarTR;Trailing Returns - 3-Year - Total Return;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;1;3-Year Annualized<; ; ; ;0;</table;0;0
4895;MorningstarTR;Trailing Returns - 5-Year - Total Return;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;1;5-Year Annualized<; ; ; ;0;</table;0;0
4896;MorningstarTR;Trailing Returns - 10-Year - Total Return;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;1;10-Yr Annualized<; ; ; ;0;</table;0;0
4897;MorningstarTR;Trailing Returns - 1-Day - vs Category;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;2;1-Day<; ; ; ;0;</table;0;0
4898;MorningstarTR;Trailing Returns - 1-Week - vs Category;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;2;1-Week<; ; ; ;0;</table;0;0
4899;MorningstarTR;Trailing Returns - 1-Month - vs Category;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;2;1-Month<; ; ; ;0;</table;0;0
4900;MorningstarTR;Trailing Returns - 3-Month - vs Category;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;2;3-Month<; ; ; ;0;</table;0;0
4901;MorningstarTR;Trailing Returns - YTD - vs Category;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;2;Year-to-date<; ; ; ;0;</table;0;0
4902;MorningstarTR;Trailing Returns - 1-Year - vs Category;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;2;1-Year<; ; ; ;0;</table;0;0
4903;MorningstarTR;Trailing Returns - 3-Year - vs Category;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;2;3-Year Annualized<; ; ; ;0;</table;0;0
4904;MorningstarTR;Trailing Returns - 5-Year - vs Category;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;2;5-Year Annualized<; ; ; ;0;</table;0;0
4905;MorningstarTR;Trailing Returns - 10-Year - vs Index;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;2;10-Yr Annualized<; ; ; ;0;</table;0;0
4906;MorningstarTR;Trailing Returns - 1-Day - vs Index;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;3;1-Day<; ; ; ;0;</table;0;0
4907;MorningstarTR;Trailing Returns - 1-Week - vs Index;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;3;1-Week<; ; ; ;0;</table;0;0
4908;MorningstarTR;Trailing Returns - 1-Month - vs Index;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;3;1-Month<; ; ; ;0;</table;0;0
4909;MorningstarTR;Trailing Returns - 3-Month - vs Index;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;3;3-Month<; ; ; ;0;</table;0;0
4910;MorningstarTR;Trailing Returns - YTD - vs Index;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;3;Year-to-date<; ; ; ;0;</table;0;0
4911;MorningstarTR;Trailing Returns - 1-Year - vs Index;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;3;1-Year<; ; ; ;0;</table;0;0
4912;MorningstarTR;Trailing Returns - 3-Year - vs Index;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;3;3-Year Annualized<; ; ; ;0;</table;0;0
4913;MorningstarTR;Trailing Returns - 5-Year - vs Index;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;3;5-Year Annualized<; ; ; ;0;</table;0;0
4914;MorningstarTR;Trailing Returns - 10-Year - vs Index;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;3;10-Yr Annualized<; ; ; ;0;</table;0;0
4915;MorningstarTR;Trailing Returns - 1-Day - Category Rank;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;4;1-Day<; ; ; ;0;</table;0;0
4916;MorningstarTR;Trailing Returns - 1-Week - Category Rank;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;4;1-Week<; ; ; ;0;</table;0;0
4917;MorningstarTR;Trailing Returns - 1-Month - Category Rank;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;4;1-Month<; ; ; ;0;</table;0;0
4918;MorningstarTR;Trailing Returns - 3-Month - Category Rank;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;4;3-Month<; ; ; ;0;</table;0;0
4919;MorningstarTR;Trailing Returns - YTD - Category Rank;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;4;Year-to-date<; ; ; ;0;</table;0;0
4920;MorningstarTR;Trailing Returns - 1-Year - Category Rank;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;4;1-Year<; ; ; ;0;</table;0;0
4921;MorningstarTR;Trailing Returns - 3-Year - Category Rank;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;4;3-Year Annualized<; ; ; ;0;</table;0;0
4922;MorningstarTR;Trailing Returns - 5-Year - Category Rank;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;4;5-Year Annualized<; ; ; ;0;</table;0;0
4923;MorningstarTR;Trailing Returns - 10-Year - Category Rank;http://quicktake.morningstar.com/fundnet/printreport.aspx?symbol=~~~~~;4;10-Yr Annualized<; ; ; ;0;</table;0;0

13931;MorningstarAR;Valuation Ratios -- Price/Earnings -- Stock -- Current;=RCHGetTableCell("http://financials.morningstar.com/valuation/current-valuation-list.action?&t=~~~~~",1,">Price/Earnings")
13932;MorningstarAR;Valuation Ratios -- Price/Book -- Stock -- Current;=RCHGetTableCell("http://financials.morningstar.com/valuation/current-valuation-list.action?&t=~~~~~",1,">Price/Book")
13933;MorningstarAR;Valuation Ratios -- Price/Sales -- Stock -- Current;=RCHGetTableCell("http://financials.morningstar.com/valuation/current-valuation-list.action?&t=~~~~~",1,">Price/Sales")
13934;MorningstarAR;Valuation Ratios -- Price/Cash Flow -- Stock -- Current;=RCHGetTableCell("http://financials.morningstar.com/valuation/current-valuation-list.action?&t=~~~~~",1,">Price/Cash Flow")
13935;MorningstarAR;Valuation Ratios -- Dividend Yield -- Stock -- Current;=RCHGetTableCell("http://financials.morningstar.com/valuation/current-valuation-list.action?&t=~~~~~",1,"Dividend Yield")
13936;MorningstarAR;Valuation Ratios -- Price/Earnings -- Industry -- Current;=RCHGetTableCell("http://financials.morningstar.com/valuation/current-valuation-list.action?&t=~~~~~",2,">Price/Earnings")
13937;MorningstarAR;Valuation Ratios -- Price/Book -- Industry -- Current;=RCHGetTableCell("http://financials.morningstar.com/valuation/current-valuation-list.action?&t=~~~~~",2,">Price/Book")
13938;MorningstarAR;Valuation Ratios -- Price/Sales -- Industry -- Current;=RCHGetTableCell("http://financials.morningstar.com/valuation/current-valuation-list.action?&t=~~~~~",2,">Price/Sales")
13939;MorningstarAR;Valuation Ratios -- Price/Cash Flow -- Industry -- Current;=RCHGetTableCell("http://financials.morningstar.com/valuation/current-valuation-list.action?&t=~~~~~",2,">Price/Cash Flow")
13940;MorningstarAR;Valuation Ratios -- Dividend Yield -- Industry -- Current;=RCHGetTableCell("http://financials.morningstar.com/valuation/current-valuation-list.action?&t=~~~~~",2,"Dividend Yield")
13941;MorningstarAR;Valuation Ratios -- Price/Earnings -- S&P 500 -- Current;=RCHGetTableCell("http://financials.morningstar.com/valuation/current-valuation-list.action?&t=~~~~~",3,">Price/Earnings")
13942;MorningstarAR;Valuation Ratios -- Price/Book -- S&P 500 -- Current;=RCHGetTableCell("http://financials.morningstar.com/valuation/current-valuation-list.action?&t=~~~~~",3,">Price/Book")
13943;MorningstarAR;Valuation Ratios -- Price/Sales -- S&P 500 -- Current;=RCHGetTableCell("http://financials.morningstar.com/valuation/current-valuation-list.action?&t=~~~~~",3,">Price/Sales")
13944;MorningstarAR;Valuation Ratios -- Price/Cash Flow -- S&P 500 -- Current;=RCHGetTableCell("http://financials.morningstar.com/valuation/current-valuation-list.action?&t=~~~~~",3,">Price/Cash Flow")
13945;MorningstarAR;Valuation Ratios -- Dividend Yield -- S&P 500 -- Current;=RCHGetTableCell("http://financials.morningstar.com/valuation/current-valuation-list.action?&t=~~~~~",3,"Dividend Yield")
13946;MorningstarAR;Valuation Ratios -- Price/Earnings -- Stock -- 5-Year Average;=RCHGetTableCell("http://financials.morningstar.com/valuation/current-valuation-list.action?&t=~~~~~",4,">Price/Earnings")
13947;MorningstarAR;Valuation Ratios -- Price/Book -- Stock -- 5-Year Average;=RCHGetTableCell("http://financials.morningstar.com/valuation/current-valuation-list.action?&t=~~~~~",4,">Price/Book")
13948;MorningstarAR;Valuation Ratios -- Price/Sales -- Stock -- 5-Year Average;=RCHGetTableCell("http://financials.morningstar.com/valuation/current-valuation-list.action?&t=~~~~~",4,">Price/Sales")
13949;MorningstarAR;Valuation Ratios -- Price/Cash Flow -- Stock -- 3-Year Average;=RCHGetTableCell("http://financials.morningstar.com/valuation/current-valuation-list.action?&t=~~~~~",4,">Price/Cash Flow")
13950;MorningstarAR;Valuation Ratios -- Dividend Yield -- Stock -- 5-Year Average;=RCHGetTableCell("http://financials.morningstar.com/valuation/current-valuation-list.action?&t=~~~~~",4,"Dividend Yield")
13951;MorningstarAR;Valuation Ratios -- Date -- Year 10;="FY 10"
13952;MorningstarAR;Valuation Ratios -- Date -- Year 9;="FY 9"
13953;MorningstarAR;Valuation Ratios -- Date -- Year 8;="FY 8"
13954;MorningstarAR;Valuation Ratios -- Date -- Year 7;="FY 7"
13955;MorningstarAR;Valuation Ratios -- Date -- Year 6;="FY 6"
13956;MorningstarAR;Valuation Ratios -- Date -- Year 5;="FY 5"
13957;MorningstarAR;Valuation Ratios -- Date -- Year 4;="FY 4"
13958;MorningstarAR;Valuation Ratios -- Date -- Year 3;="FY 3"
13959;MorningstarAR;Valuation Ratios -- Date -- Year 2;="FY 2"
13960;MorningstarAR;Valuation Ratios -- Date -- Year 1;="FY 1"
13961;MorningstarAR;Valuation Ratios -- Price/Earnings -- Stock -- Year 10;=RCHGetTableCell("http://financials.morningstar.com/valuation/valuation-history.action?type=price-earnings&t=~~~~~",2,"Price/Earnings","<tr")
13962;MorningstarAR;Valuation Ratios -- Price/Earnings -- Stock -- Year 9;=RCHGetTableCell("http://financials.morningstar.com/valuation/valuation-history.action?type=price-earnings&t=~~~~~",3,"Price/Earnings","<tr")
13963;MorningstarAR;Valuation Ratios -- Price/Earnings -- Stock -- Year 8;=RCHGetTableCell("http://financials.morningstar.com/valuation/valuation-history.action?type=price-earnings&t=~~~~~",4,"Price/Earnings","<tr")
13964;MorningstarAR;Valuation Ratios -- Price/Earnings -- Stock -- Year 7;=RCHGetTableCell("http://financials.morningstar.com/valuation/valuation-history.action?type=price-earnings&t=~~~~~",5,"Price/Earnings","<tr")
13965;MorningstarAR;Valuation Ratios -- Price/Earnings -- Stock -- Year 6;=RCHGetTableCell("http://financials.morningstar.com/valuation/valuation-history.action?type=price-earnings&t=~~~~~",6,"Price/Earnings","<tr")
13966;MorningstarAR;Valuation Ratios -- Price/Earnings -- Stock -- Year 5;=RCHGetTableCell("http://financials.morningstar.com/valuation/valuation-history.action?type=price-earnings&t=~~~~~",7,"Price/Earnings","<tr")
13967;MorningstarAR;Valuation Ratios -- Price/Earnings -- Stock -- Year 4;=RCHGetTableCell("http://financials.morningstar.com/valuation/valuation-history.action?type=price-earnings&t=~~~~~",8,"Price/Earnings","<tr")
13968;MorningstarAR;Valuation Ratios -- Price/Earnings -- Stock -- Year 3;=RCHGetTableCell("http://financials.morningstar.com/valuation/valuation-history.action?type=price-earnings&t=~~~~~",9,"Price/Earnings","<tr")
13969;MorningstarAR;Valuation Ratios -- Price/Earnings -- Stock -- Year 2;=RCHGetTableCell("http://financials.morningstar.com/valuation/valuation-history.action?type=price-earnings&t=~~~~~",10,"Price/Earnings","<tr")
13970;MorningstarAR;Valuation Ratios -- Price/Earnings -- Stock -- Year 1;=RCHGetTableCell("http://financials.morningstar.com/valuation/valuation-history.action?type=price-earnings&t=~~~~~",11,"Price/Earnings","<tr")
13971;MorningstarAR;Valuation Ratios -- Price/Earnings -- Stock -- TTM;=RCHGetTableCell("http://financials.morningstar.com/valuation/valuation-history.action?type=price-earnings&t=~~~~~",12,"Price/Earnings","<tr")
13972;MorningstarAR;Valuation Ratios -- Price/Earnings -- S&P 500 -- Year 10;=RCHGetTableCell("http://financials.morningstar.com/valuation/valuation-history.action?type=price-earnings&t=~~~~~",2,"Price/Earnings","<tr","<tr")
13973;MorningstarAR;Valuation Ratios -- Price/Earnings -- S&P 500 -- Year 9;=RCHGetTableCell("http://financials.morningstar.com/valuation/valuation-history.action?type=price-earnings&t=~~~~~",3,"Price/Earnings","<tr","<tr")
13974;MorningstarAR;Valuation Ratios -- Price/Earnings -- S&P 500 -- Year 8;=RCHGetTableCell("http://financials.morningstar.com/valuation/valuation-history.action?type=price-earnings&t=~~~~~",4,"Price/Earnings","<tr","<tr")
13975;MorningstarAR;Valuation Ratios -- Price/Earnings -- S&P 500 -- Year 7;=RCHGetTableCell("http://financials.morningstar.com/valuation/valuation-history.action?type=price-earnings&t=~~~~~",5,"Price/Earnings","<tr","<tr")
13976;MorningstarAR;Valuation Ratios -- Price/Earnings -- S&P 500 -- Year 6;=RCHGetTableCell("http://financials.morningstar.com/valuation/valuation-history.action?type=price-earnings&t=~~~~~",6,"Price/Earnings","<tr","<tr")
13977;MorningstarAR;Valuation Ratios -- Price/Earnings -- S&P 500 -- Year 5;=RCHGetTableCell("http://financials.morningstar.com/valuation/valuation-history.action?type=price-earnings&t=~~~~~",7,"Price/Earnings","<tr","<tr")
13978;MorningstarAR;Valuation Ratios -- Price/Earnings -- S&P 500 -- Year 4;=RCHGetTableCell("http://financials.morningstar.com/valuation/valuation-history.action?type=price-earnings&t=~~~~~",8,"Price/Earnings","<tr","<tr")
13979;MorningstarAR;Valuation Ratios -- Price/Earnings -- S&P 500 -- Year 3;=RCHGetTableCell("http://financials.morningstar.com/valuation/valuation-history.action?type=price-earnings&t=~~~~~",9,"Price/Earnings","<tr","<tr")
13980;MorningstarAR;Valuation Ratios -- Price/Earnings -- S&P 500 -- Year 2;=RCHGetTableCell("http://financials.morningstar.com/valuation/valuation-history.action?type=price-earnings&t=~~~~~",10,"Price/Earnings","<tr","<tr")
13981;MorningstarAR;Valuation Ratios -- Price/Earnings -- S&P 500 -- Year 1;=RCHGetTableCell("http://financials.morningstar.com/valuation/valuation-history.action?type=price-earnings&t=~~~~~",11,"Price/Earnings","<tr","<tr")
